,東,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3,4,5,4,4D,3N,5,36
1,BACK,363,360,160,323,525,409,348,170,535,3193
2,REG,327,338,134,289,489,376,316,142,501,2912
3,LADY,277,301,120,268,434,354,285,138,473,2650
4,Hdcp,5,2,8,7,1,4,6,9,3,­
