,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,5,4D,4,3N,4,3,5,4,36
1,Back,387,568,444,415,88,384,193,498,333,3310
2,REGULAR,373,524,422,385,82,364,171,478,308,3107
3,GOLD,359,514,380,382,81,315,141,440,288,2900
4,LADIES,339,504,370,340,80,281,111,410,266,2701
5,Hdcp,10,2,14,8,18,6,12,4,16,­
