,南,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,3,5,4,3,4,3,5D,36
1,Blue,482,338,165,493,352,180,339,190,477,3016
2,White,462,320,145,454,331,178,320,167,456,2833
3,Red,421,283,114,410,291,98,277,125,417,2436
4,Black,503,361,184,506,372,188,361,214,498,3187
5,Hdcp,2,8,5,4,7,1,9,3,6,­
