,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,3N,5D,4,4,4,3N,5D,36
1,Black,442,368,204,543,398,465,464,160,567,3611
2,Blue,416,347,187,510,381,442,443,139,545,3410
3,White,396,335,160,492,355,395,427,123,498,3181
4,Pink,253,319,125,356,327,208,278,107,470,2443
5,Red,375,319,125,458,327,368,394,107,470,2943
6,Hdcp,4,16,10,8,14,2,6,18,12,­
