,西,1,2,3,4,5,6,7,8,9,計
0,Par,5.0,4.0,4.0,3.0,5D,4.0,4.0,4.0,3N,36
1,BACK,499.0,288.0,343.0,149.0,549,380.0,327.0,429.0,148,3112
2,Front,448.0,271.0,333.0,114.0,533,358.0,317.0,394.0,141,2909
3,Hdcp,,,,,,,,,,­
