,西,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,4,4,5D,3N,4,3,4,36
1,BACK,526,363,396,372,561,184,416,168,306,3292
2,REG,515,344,379,360,540,135,407,142,297,3119
3,LADY,424,344,344,289,485,107,371,142,297,2803
4,Hdcp,2,8,5,4,1,7,3,9,6,­
