,中,1,2,3,4,5,6,7,8,9,計
0,Par,4.0,5.0,3.0,4.0,4.0,3N,4.0,5D,4.0,36
1,BACK,341.0,486.0,127.0,443.0,357.0,148,388.0,495,358.0,3143
2,Front,296.0,475.0,112.0,412.0,338.0,126,352.0,484,336.0,2931
3,Hdcp,,,,,,,,,,­
