,西,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,4D,4,4,3N,4,3,5,36
1,BLACK,435,455,379,376,372,236,400,200,564,3417
2,BLUE,412,442,351,366,356,228,380,174,555,3264
3,WHITE,382,442,351,366,342,121,357,174,545,3080
4,GOLD,355,433,325,263,342,106,342,136,418,2720
5,Green,355,442,325,345,342,111,342,164,418,2844
6,Red,305,433,325,263,327,106,298,136,418,2611
7,Hdcp,5,2,8,1,4,7,3,9,6,­
