,西,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,3,4,5D,4,3N,4,4,36
1,Blue,492,377,197,405,586,366,186,355,443,3407
2,Orange,492,370,197,392,542,366,186,341,425,3311
3,White,471,353,179,375,523,343,164,328,396,3132
4,Red,402,326,171,325,481,311,160,303,369,2848
5,Hdcp,5,2,8,7,1,4,9,6,3,­
