,さくら草（9ホール）,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3,5D,3N,4,4,4,5,36
1,BLUE,417,354,187,489,153,396,314,360,483,3153
2,WHITE,403,321,163,472,140,388,287,348,468,2990
3,RED,268,254,104,390,100,296,225,274,389,2300
4,Hdcp,3,9,15,1,13,7,17,11,5,­
