,西から中,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,4,3N,4,4,4,3,5D,36
1,BACK,560,356,443,169,343,447,362,186,518,3384
2,Regular,537,333,420,149,324,420,338,174,497,3192
3,Ladies,455,264,375,115,210,354,282,114,433,2602
4,Champion,573,374,476,192,343,447,374,202,518,3499
5,Front,514,311,399,120,294,393,313,142,471,2957
6,Hdcp,1,8,3,9,6,2,5,7,4,­
