,美里　IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,4,3,4,4D,4,5,3N,4,36
1,Back T.(A),548,415,216,385,449,395,528,179,450,3565
2,Reg T.(A),531,383,207,367,375,384,505,150,408,3310
3,Back T.(B),537,416,193,367,452,383,510,150,446,3454
4,Reg T.(B),520,384,184,348,378,372,487,126,405,3204
5,Hdcp,10,6,14,12,2,18,8,16,4,­
