,米山　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,5,3,4,3,5,4,4,36
1,Back T.,396,407,584,199,373,191,503,395,416,3464
2,Reg.,381,387,489,186,344,157,482,372,393,3191
3,Ladies,340,338,449,123,295,131,423,328,331,2758
4,Hdcp,9,3,15,7,1,13,5,11,17,­
