,北,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,5,3,4,4,4,4,3,35
1,Blue,360,369,441,147,339,322,326,357,177,2838
2,White,335,348,424,131,318,288,304,333,160,2641
3,Red,304,315,386,98,276,251,254,280,136,2300
4,Black,383,388,460,170,356,339,345,383,191,3015
5,Hdcp,8,2,5,4,7,1,9,3,6,­
