,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,3N,4D,5,4,4,3,4,5,36
1,Blue(右),407,148,351,511,310,389,206,354,552,3228
2,White(右),384,131,327,491,291,368,195,328,541,3056
3,Red(右),348,87,283,470,274,350,137,306,444,2699
4,Blue(左),432,181,406,477,322,352,227,386,570,3353
5,Red(左),373,114,338,436,287,313,150,338,462,2811
6,White(左),409,162,382,457,304,331,216,360,558,3179
7,Hdcp,6,18,12,2,16,14,8,10,4,­
