,IN,10,11,12,13,14,15,16,17,18,計
0,Par,3N,4,5,4D,5,3,4,4,4,36
1,Blue,143,297,555,312,428,109,355,364,340,2903
2,White,130,284,535,300,412,103,345,322,304,2735
3,Red,118,284,323,289,344,96,335,258,192,2239
4,Hdcp,16,10,4,8,2,14,12,6,18,­
