,れんげ草（9ホール）,1,2,3,4,5,6,7,8,9,計
0,Par,3,4,4,5,3N,5D,5,4,4,37
1,BLUE,148,417,360,521,123,514,485,349,319,3236
2,WHITE,134,397,338,502,113,497,471,329,307,3088
3,RED,118,344,300,463,100,402,442,296,297,2762
4,Hdcp,16,4,10,2,14,8,6,12,18,­
