,中,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,4,3N,4,5,4,3,4D,36
1,BACK,498,426,425,160,269,508,454,151,418,3309
2,REG,482,399,398,144,258,490,430,130,385,3116
3,LADY,464,278,381,144,235,420,270,130,385,2707
4,Hdcp,2,5,8,7,4,1,3,9,6,­
