,岡部　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,5,3,5D,4,3N,4,4,4,4,36
1,Back T.(B),505,150,484,369,160,305,350,390,365,3078
2,Reg.(B),494,127,474,369,150,290,340,360,350,2954
3,Back T.(K),555,145,484,369,171,310,360,395,369,3158
4,Reg.(K),544,127,474,369,160,295,350,365,360,3044
5,Hdcp,3,9,15,7,13,1,17,5,11,­
