,知々夫　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,5,3,5,4,4,3,4,36
1,Back,338,375,524,147,544,420,389,196,459,3392
2,Reg.,328,365,507,139,514,410,365,183,438,3249
3,Front,318,348,465,128,488,402,350,156,412,3067
4,Hdcp,13,3,9,17,7,1,5,15,11,­
