,中から東,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,4,4,3N,4,3,4,5D,36
1,BACK,516,379,445,360,169,406,207,358,532,3372
2,Regular,496,351,425,336,144,381,181,330,507,3151
3,Ladies,439,286,265,281,110,309,123,276,447,2536
4,Champion,516,379,469,360,188,459,218,368,545,3502
5,Front,474,325,401,310,121,356,155,303,482,2927
6,Hdcp,1,6,2,7,9,4,8,5,3,­
