,美里　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,3N,4,5D,4,3,4,5,4,36
1,Back T.(A),444,175,358,572,405,240,425,520,380,3519
2,Reg T.(A),428,155,345,547,382,218,394,476,358,3303
3,Back T.(B),445,173,370,560,405,249,428,523,358,3511
4,Reg T.(B),429,153,357,535,382,228,397,479,336,3296
5,Hdcp,5,15,7,9,3,13,1,11,17,­
