,祁答院,1,2,3,4,5,6,7,8,9,計
0,Par,4.0,4.0,3N,5.0,4.0,4.0,3.0,4.0,5D,36
1,Back T.,367.0,315.0,161,475.0,375.0,346.0,177.0,388.0,482,3086
2,REG T.,362.0,298.0,150,462.0,356.0,330.0,161.0,378.0,476,2973
3,FRONT T.,358.0,282.0,137,445.0,350.0,319.0,147.0,370.0,470,2878
4,Hdcp,,,,,,,,,,­
