,桜島,1,2,3,4,5,6,7,8,9,計
0,Par,5.0,4.0,4D,3N,4.0,5.0,4.0,3.0,4.0,36
1,Back T.,555.0,384.0,396,186,436.0,554.0,372.0,188.0,430.0,3501
2,REG T.,541.0,363.0,373,175,419.0,540.0,356.0,166.0,407.0,3340
3,FRONT T.,523.0,346.0,348,155,399.0,518.0,342.0,138.0,379.0,3148
4,Hdcp,,,,,,,,,,­
