,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,3N,5,4,4,5,3,4D,36
1,Champ,402,442,152,540,448,337,525,162,471,3479
2,Back,380,419,151,510,418,299,506,140,440,3263
3,South_P,363,377,124,473,402,277,480,132,411,3039
4,Front,345,354,115,436,382,238,465,117,377,2829
5,Ladies,314,292,103,383,307,231,449,109,338,2526
6,Hdcp,12,4,16,14,2,10,8,18,6,­
