,OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3,4,5,3N,5,4D,4,36
1,Blue,380,439,167,345,562,156,602,317,396,3364
2,WHITE,353,400,150,318,534,147,562,311,358,3133
3,RED,277,353,131,287,430,135,463,259,287,2622
4,Hdcp,7,3,11,13,5,17,1,15,9,­
