,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,3,4,5,4,3N,4,5D,36
1,Black,427,364,207,401,530,345,184,378,558,3394
2,White,381,310,188,343,486,291,172,352,506,3029
3,Yellow,346,310,145,311,447,276,154,323,452,2764
4,Orange,306,265,135,290,409,261,116,255,380,2417
5,Hdcp,4,10,14,2,18,12,6,16,8,­
