,アウト,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3N,5,4,3,5D,4,4,36
1,Back,410,388,202,560,430,175,514,384,399,3462
2,Regular,385,362,180,539,411,153,495,362,372,3259
3,Ladie's,293,270,113,423,322,124,388,258,283,2474
4,Hdcp,4,8,6,1,2,9,5,7,3,­
