,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,4,3N,5,4,4,3,5D,36
1,Blue,382,429,422,182,552,427,407,206,524,3531
2,White,329,386,373,164,534,393,369,149,496,3193
3,ReRex,287,344,324,126,483,346,349,127,454,2840
4,Hdcp,16,8,4,18,2,12,10,14,6,­
