,入来城山ゴルフ倶楽部　IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,5D,4,4,3,4,5,3N,4,36
1,Back,404,525,452,437,172,413,514,154,451,3522
2,Regular,386,505,426,418,157,385,498,125,411,3311
3,Front,308,424,371,392,138,340,476,124,377,2950
4,Ladies,308,413,321,322,136,298,405,100,327,2630
5,Hdcp,16,10,4,2,14,8,6,18,12,­
