,IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,4,4,3,4,4D,3N,4,5,36
1,Back,580,354,399,196,391,402,152,383,494,3351
2,Regular,564,331,359,179,360,379,135,335,469,3111
3,Ladies,455,267,263,135,315,311,117,258,420,2541
4,Hdcp,2,16,4,12,6,14,18,8,10,­
