,霧島,1,2,3,4,5,6,7,8,9,計
0,Par,4.0,3N,4.0,4.0,5.0,4.0,3.0,4.0,5D,36
1,Back T.,345.0,206,423.0,367.0,500.0,416.0,169.0,368.0,580,3374
2,REG T.,332.0,157,377.0,354.0,485.0,396.0,159.0,356.0,533,3149
3,FRONT T,317.0,136,359.0,334.0,456.0,384.0,150.0,340.0,511,2987
4,Hdcp,,,,,,,,,,­
