,IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,4,3,4,4,3N,4,4,5D,36
1,BLUE,544,388,195,316,405,146,407,310,489,3200
2,COMPE,516,368,181,298,390,129,383,296,475,3036
3,GOLD,313,353,148,351,484,145,206,474,252,2726
4,RED,410,283,143,230,285,90,298,281,403,2423
5,WHITE,488,348,150,280,373,97,363,287,460,2846
6,Hdcp,14,2,6,12,8,18,4,16,10,­
