,入来城山ゴルフ倶楽部　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,5,3N,4,4,3,4,5D,36
1,Back,390,388,574,165,441,358,212,398,524,3450
2,Regular,370,362,536,143,416,313,177,384,497,3198
3,Front,348,343,475,106,358,287,136,331,430,2814
4,Ladies,348,319,380,97,320,287,136,331,430,2648
5,Hdcp,9,15,3,13,1,7,17,5,11,­
