,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,4,5D,4,3N,3N,5,4,36
1,BLUE,390,333,382,547,344,110,221,475,400,3202
2,WHITE,372,316,359,506,332,101,205,453,374,3018
3,GOLD,338,310,350,473,328,96,169,439,366,2869
4,Red,241,271,323,380,288,96,166,361,339,2465
5,Hdcp,2,14,12,4,10,18,6,16,8,­
