,Tee Name,Gender,Par,Course Rating (18),Bogey Rating (18),Slope Rating (18),Front (9),Back (9)
Randfontein,Blue,M,73,73.2,99.2,140,36.6  /  143,36.6  /  137
,White,M,72,71.1,95.1,129,35.3  /  133,35.8  /  125
,Pink,M,72,66.9,89.2,120,33.0  /  123,33.9  /  117
,White(w),F,72,78.1,113.2,149,38.8  /  149,39.3  /  148
,Pink(w),F,72,72.7,105.4,139,35.7  /  138,37.0  /  139
Reading,Yellow,M,71,74.2,99.3,136,37.0  /  136,37.2  /  135
,White,M,71,72.4,97.0,132,36.3  /  132,36.1  /  132
,Blue,M,71,70.1,94.3,130,35.2  /  129,34.9  /  131
,Red,M,71,66.6,89.2,122,33.4  /  122,33.2  /  122
,Blue(w),F,71,75.9,110.1,145,38.1  /  145,37.8  /  145
,Red(w),F,71,71.7,103.6,136,36.0  /  135,35.7  /  136
Riveria-On-Vaal,Yellow,M,72,73.6,97.4,128,36.8  /  125,36.8  /  131
,Blue,M,72,69.3,91.9,122,34.7  /  117,34.6  /  126
,Red,M,72,67.3,89.0,117,33.7  /  113,33.6  /  121
,White (w),F,72,80.7,113.9,141,40.2  /  141,40.5  /  141
,Blue(w),F,73,75.8,108.0,137,38.0  /  135,37.8  /  138
,Combo Course Red & Blue,F,72,74.6,106.2,134,37.4  /  132,37.2  /  136
,Red(w),F,72,73.6,104.6,132,37.0  /  129,36.6  /  134
Royal Oak Golf Club,Yellow,M,72,73.6,97.7,130,36.7  /  127,36.9  /  132
,White,M,72,71.7,95.0,126,35.7  /  124,36.0  /  127
,Blue,M,72,68.7,91.2,121,34.3  /  123,34.4  /  119
,Red,M,72,66.5,88.1,116,33.2  /  118,33.3  /  114
,Blue(w),F,72,74.8,106.8,136,37.2  /  137,37.6  /  134
,Red(w),F,72,72.2,103.0,131,36.0  /  133,36.2  /  128
Sun Valley,Yellow,M,58,58.0,77.9,107,26.8  /  98,31.2  /  116
,Red,M,58,55.8,74.4,100,25.8  /  90,30.0  /  110
,Red(w),F,58,58.7,83.2,104,27.2  /  96,31.5  /  112
