,Tee Name,Gender,Par,Course Rating (18),Bogey Rating (18),Slope Rating (18),Front (9),Back (9)
Estonian Golf & Country Club - Sea Course,Champ 65 Men,M,72,75.9,103.5,149,38.2  /  150,37.7  /  147
,Medal 62 Men,M,72,74.4,102.1,149,37.6  /  147,36.8  /  151
,Anniversary Course White,M,72,73.7,99.8,141,38.2  /  150,35.5  /  131
,Club 57 Men,M,72,71.8,97.5,139,36.2  /  137,35.6  /  140
,Anniversary Course Yellow,M,72,71.0,95.4,132,36.2  /  137,34.8  /  126
,Senior 53 Men,M,72,70.0,94.5,132,35.4  /  133,34.6  /  130
,Ladies 51 Men,M,72,69.1,92.5,126,34.8  /  126,34.3  /  126
,Anniversary Course Red,M,72,68.6,91.5,124,34.8  /  126,33.8  /  121
,Club 57 Ladies,F,72,78.0,112.1,145,39.3  /  147,38.7  /  142
,Anniversary Course Yellow,F,72,77.3,111.3,145,39.2  /  148,38.1  /  141
,Senior 53 Ladies,F,72,75.5,108.3,139,38.1  /  141,37.4  /  137
,Ladies 51 Ladies,F,72,74.1,106.2,137,37.3  /  137,36.8  /  136
,Anniversary Course Red,F,72,73.9,105.8,136,37.3  /  137,36.6  /  134
Estonian Golf & Country Club - Stone Course,Back Men,M,72,71.0,95.4,131,35.5  /  131,35.5  /  131
,Club Men,M,72,69.6,93.0,126,34.8  /  126,34.8  /  126
,Ladies Men,M,70,67.6,90.0,121,33.8  /  121,33.8  /  121
,Club Ladies,F,73,76.2,109.4,141,38.1  /  141,38.1  /  141
,Ladies Ladies,F,72,73.2,104.8,134,36.6  /  134,36.6  /  134
Niitvälja - Niitvälja Park,Men White,M,72,74.9,100.6,139,37.3  /  140,37.6  /  137
,Men Yellow,M,72,72.3,97.4,135,35.9  /  140,36.4  /  130
,Men Blue,M,72,69.8,94.4,132,34.7  /  132,35.1  /  132
,Men Red,M,72,68.5,92.1,127,34.0  /  127,34.5  /  127
,Ladies Yellow,F,72,78.5,112.5,145,38.9  /  148,39.6  /  141
,Ladies Blue,F,72,76.0,108.6,138,37.9  /  139,38.1  /  137
,Ladies Red,F,72,73.9,104.8,131,36.7  /  132,37.2  /  130
Niitvälja - PAR 36,Men White,M,36,36.9,49.4,135,36.9  /  135,/
,Men Yellow,M,36,35.4,47.5,130,35.4  /  130,/
,Men Red,M,36,33.9,45.3,123,33.9  /  123,/
,Ladies Yellow,F,36,38.1,54.0,135,38.1  /  135,/
,Ladies Red,F,36,36.5,51.8,130,36.5  /  130,/
Rae Golf,Mens White,M,72,73.7,98.1,131,37.0  /  130,36.7  /  132
,Mens Yellow,M,72,70.9,94.4,127,35.5  /  129,35.4  /  124
,Mens Blue,M,72,68.2,90.9,122,33.8  /  127,34.4  /  117
,Mens Red,M,72,66.5,87.9,115,33.1  /  116,33.4  /  114
,Ladies Yellow,F,72,77.4,111.6,145,38.8  /  144,38.6  /  146
,Ladies Blue,F,72,74.5,105.5,132,37.1  /  132,37.4  /  131
,Ladies Red,F,72,72.1,102.1,128,35.9  /  129,36.2  /  126
