,コース１,コース１,コース１,コース１,コース2,コース2,コース2,コース2,Par,Yards,CourseRating,SlopeRating
,コース,グリーン,ティー,査定日,コース,グリーン,ティー,査定日,Par,Yards,CourseRating,SlopeRating
秋津原ゴルフクラブ,アウト,ベント,レギュラー,2015.05.01,イン,ベント,レギュラー,2015.05.01,72,6183,75.9,140
,アウト,ベント,ゴールド,2015.05.01,イン,ベント,ゴールド,2015.05.01,72,5661,73.2,133
,アウト,ベント,レディース,2015.05.01,イン,ベント,レディース,2015.05.01,72,5373,71.8,128
阿騎野ゴルフ倶楽部,アウト,ベント,バック,2018.11.26,イン,ベント,バック,2018.11.26,72,7007,80.1,146
,アウト,ベント,レギュラー,2018.11.26,イン,ベント,レギュラー,2018.11.26,72,6488,77.2,140
,アウト,ベント,フロント1,2018.11.26,イン,ベント,フロント1,2018.11.26,72,6010,74.5,134
,アウト,ベント,レディース,2018.11.26,イン,ベント,レディース,2018.11.26,72,5196,70.0,124
,アウト,ベント,レディース2,2018.11.26,イン,ベント,レディース2,2018.11.26,72,5644,72.6,127
飛鳥カンツリー倶楽部,アウト,メイン,バック,2016.08.04,イン,メイン,バック,2016.08.04,71,6630,78.3,138
,アウト,メイン,レギュラー,2016.08.04,イン,メイン,レギュラー,2016.08.04,71,6280,76.4,134
,アウト,メイン,フロント1,2016.08.04,イン,メイン,フロント1,2016.08.04,71,5974,74.9,130
,アウト,メイン,レディース,2016.08.04,イン,メイン,レディース,2016.08.04,71,5635,72.9,127
,アウト,メイン,ピンク,2016.08.04,イン,メイン,ピンク,2016.08.04,71,4365,65.9,112
,アウト,サブ,バック,2016.08.04,イン,サブ,バック,2016.08.04,71,6369,76.9,135
,アウト,サブ,レギュラー,2016.08.04,イン,サブ,レギュラー,2016.08.04,71,6017,74.9,130
,アウト,サブ,フロント1,2016.08.04,イン,サブ,フロント1,2016.08.04,71,5701,73.4,127
,アウト,サブ,レディース,2016.08.04,イン,サブ,レディース,2016.08.04,71,5361,71.4,123
宇陀カントリークラブ,アウト,ベント,フロント1,2002.04.18,イン,ベント,フロント1,2002.04.18,72,6266,74.6,133
,アウト,ベント,フロント2,2002.04.18,イン,ベント,フロント2,2002.04.18,72,5388,70.1,120
オークモントゴルフクラブ,サウス,ベント,レギュラー,2008.07.30,イースト,ベント,レギュラー,2008.07.30,72,6789,78.0,141
,サウス,ベント,フロント,2008.07.30,イースト,ベント,フロント,2008.07.30,72,6370,75.7,135
,サウス,ベント,レディース_,,イースト,ベント,レディース_,,72,5867,73.1,129
,イースト,ベント,レギュラー,2008.07.30,ウエスト,ベント,レギュラー_,,72,6731,77.9,141
,イースト,ベント,フロント,2008.07.30,ウエスト,ベント,フロント_,,72,6304,75.6,135
,イースト,ベント,レディース,2008.07.30,ウエスト,ベント,レディース,2008.07.30,72,5762,72.8,128
,ウエスト,ベント,レギュラー,2008.07.30,サウス,ベント,レギュラー_,,72,6770,78.1,142
,ウエスト,ベント,フロント,2008.07.30,サウス,ベント,フロント_,,72,6360,75.9,136
,ウエスト,ベント,レディース_,,サウス,ベント,レディース,2008.07.30,72,5867,73.3,129
春日台カントリークラブ,東,ベント,レギュラー,2016.09.01,中,ベント,レギュラー,2016.09.01,72,6445,76.9,136
,東,ベント,フロント1,2016.09.01,中,ベント,フロント1,2016.09.01,72,6059,75.1,132
,東,ベント,レディース,2016.09.01,中,ベント,レディース,2016.09.01,72,5566,72.3,126
