,コース１,コース１,コース１,コース１,コース2,コース2,コース2,コース2,Par,Yards,CourseRating,SlopeRating
,コース,グリーン,ティー,査定日,コース,グリーン,ティー,査定日,Par,Yards,CourseRating,SlopeRating
魚津国際カントリークラブ,アウト,メイン,バック,2011.09.13,イン,メイン,バック,2011.09.13,72,6570,71.8,125
,アウト,メイン,レギュラー,2011.09.13,イン,メイン,レギュラー,2011.09.13,72,6270,70.4,120
,アウト,メイン,フロント,2011.09.13,イン,メイン,フロント,2011.09.13,72,6120,69.6,119
,アウト,メイン,ゴールド,2011.09.13,イン,メイン,ゴールド,2011.09.13,72,5480,66.7,113
,アウト,メイン,レディス,2011.09.13,イン,メイン,レディス,2011.09.13,72,5055,64.7,110
,アウト,サブ,バック,2011.09.13,イン,サブ,バック,2011.09.13,72,6260,70.2,121
,アウト,サブ,レギュラー,2011.09.13,イン,サブ,レギュラー,2011.09.13,72,5965,68.7,118
,アウト,サブ,フロント,2011.09.13,イン,サブ,フロント,2011.09.13,72,5790,68.0,115
,アウト,サブ,ゴールド,2011.09.13,イン,サブ,ゴールド,2011.09.13,72,5170,65.2,112
,アウト,サブ,レディス,2011.09.13,イン,サブ,レディス,2011.09.13,72,4750,63.2,110
大山カメリアカントリークラブ,アウト,ベント,バック,2011.09.14,イン,ベント,バック,2011.09.14,72,6631,71.6,121
,アウト,ベント,レギュラー,2011.09.14,イン,ベント,レギュラー,2011.09.14,72,6269,69.9,118
,アウト,ベント,フロント,2011.09.14,イン,ベント,フロント,2011.09.14,72,5909,68.0,118
,アウト,ベント,シニア,2011.09.14,イン,ベント,シニア,2011.09.14,72,5396,65.8,111
,アウト,ベント,レディース,2011.09.14,イン,ベント,レディース,2011.09.14,72,5262,65.2,110
呉羽カントリークラブ,立山アウト,マスター,バック,2005.02.15,立山イン,マスター,バック,2005.02.15,71,6640,72.2,131
,立山アウト,マスター,レギュラー,2005.02.15,立山イン,マスター,レギュラー,2005.02.15,71,6226,70.2,125
,立山アウト,マスター,フロント,2005.02.15,立山イン,マスター,フロント,2005.02.15,71,6128,69.7,124
,立山アウト,マスター,レディス,2005.02.15,立山イン,マスター,レディス,2005.02.15,71,5608,67.7,118
,立山アウト,サブ,バック,2005.02.15,立山イン,サブ,バック,2005.02.15,71,6271,70.0,125
,立山アウト,サブ,レギュラー,2005.02.15,立山イン,サブ,レギュラー,2005.02.15,71,5834,68.4,120
,立山アウト,サブ,フロント,2005.02.15,立山イン,サブ,フロント,2005.02.15,71,5751,68.1,119
,立山アウト,サブ,レディス,2005.02.15,立山イン,サブ,レディス,2005.02.15,71,5272,66.3,114
,日本海アウト,マスター,バック,2005.09.13,日本海イン,マスター,バック,2005.09.13,72,6905,73.2,134
,日本海アウト,マスター,レギュラー,2005.09.13,日本海イン,マスター,レギュラー,2005.09.13,72,6529,71.5,129
,日本海アウト,マスター,フロント,2005.09.13,日本海イン,マスター,フロント,2005.09.13,72,6440,71.1,128
,日本海アウト,マスター,レディス,2005.09.13,日本海イン,マスター,レディス,2005.09.13,72,5699,68.1,119
,日本海アウト,サブ,バック,2005.09.13,日本海イン,サブ,バック,2005.09.13,72,6371,70.2,125
,日本海アウト,サブ,レギュラー,2005.09.13,日本海イン,サブ,レギュラー,2005.09.13,72,6018,68.8,121
,日本海アウト,サブ,フロント,2005.09.13,日本海イン,サブ,フロント,2005.09.13,72,5952,68.7,121
,日本海アウト,サブ,レディス,2005.09.13,日本海イン,サブ,レディス,2005.09.13,72,5248,66.0,113
小杉カントリークラブ,東,ベント,バック,2012.09.21,南,ベント,バック,2012.09.21,72,6729,71.8,123
,東,ベント,レギュラー,2012.09.21,南,ベント,レギュラー,2012.09.21,72,6285,69.5,124
,東,ベント,フロント,2012.09.21,南,ベント,フロント,2012.09.21,72,5844,67.5,120
,東,ベント,レディース,2012.09.21,南,ベント,レディース,2012.09.21,72,5328,65.2,112
,南,ベント,バック,2012.09.21,北,ベント,バック,2012.09.21,72,6869,72.6,125
,南,ベント,レギュラー,2012.09.21,北,ベント,レギュラー,2012.09.21,72,6425,70.3,124
,南,ベント,フロント,2012.09.21,北,ベント,フロント,2012.09.21,72,5975,68.3,122
,南,ベント,レディース,2012.09.21,北,ベント,レディース,2012.09.21,72,5384,65.5,113
,北,ベント,バック,2012.09.21,東,ベント,バック,2012.09.21,72,6590,71.0,124
,北,ベント,レギュラー,2012.09.21,東,ベント,レギュラー,2012.09.21,72,6186,69.0,124
,北,ベント,フロント,2012.09.21,東,ベント,フロント,2012.09.21,72,5735,66.8,120
,北,ベント,レディース,2012.09.21,東,ベント,レディース,2012.09.21,72,5128,64.3,108
ゴルフ倶楽部ゴールドウィン,アウト,ベント,バック,2009.11.02,イン,ベント,バック,2009.11.02,72,6516,71.1,128
,アウト,ベント,レギュラー,2009.11.02,イン,ベント,レギュラー,2009.11.02,72,6208,69.7,124
,アウト,ベント,フロント1,2009.11.02,イン,ベント,フロント1,2009.11.02,72,5869,68.5,121
,アウト,ベント,フロント2,2009.11.02,イン,ベント,フロント2,2009.11.02,72,5552,67.2,117
千羽平ゴルフクラブ,白山,ベント,バック,2021.10.19,日本海,ベント,バック,2021.10.19,72,6712,73.0,133
,白山,ベント,レギュラー,2021.10.19,日本海,ベント,レギュラー,2021.10.19,72,6459,71.8,130
,白山,ベント,フロント1,2021.10.19,日本海,ベント,フロント1,2021.10.19,72,6179,70.3,125
,白山,ベント,緑,2021.10.19,日本海,ベント,緑,2021.10.19,72,5779,68.2,125
,白山,ベント,ゴールド,2021.10.19,日本海,ベント,ゴールド,2021.10.19,72,5457,66.6,122
,白山,ベント,レディース,2021.10.19,日本海,ベント,レディース,2021.10.19,72,5062,64.6,115
,日本海,ベント,バック,2021.10.19,立山,ベント,バック,2021.10.19,72,6725,73.2,134
,日本海,ベント,レギュラー,2021.10.19,立山,ベント,レギュラー,2021.10.19,72,6358,71.5,132
,日本海,ベント,フロント1,2021.10.19,立山,ベント,フロント1,2021.10.19,72,6083,70.1,127
,日本海,ベント,緑,2021.10.19,立山,ベント,緑,2021.10.19,72,5636,67.8,125
,日本海,ベント,ゴールド,2021.10.19,立山,ベント,ゴールド,2021.10.19,72,5361,66.3,122
,日本海,ベント,レディース,2021.10.19,立山,ベント,レディース,2021.10.19,72,4907,64.0,114
,立山,ベント,バック,2021.10.19,白山,ベント,バック,2021.10.19,72,6519,71.8,135
,立山,ベント,レギュラー,2021.10.19,白山,ベント,レギュラー,2021.10.19,72,6179,70.3,133
,立山,ベント,フロント1,2021.10.19,白山,ベント,フロント1,2021.10.19,72,5850,68.8,127
,立山,ベント,緑,2021.10.19,白山,ベント,緑,2021.10.19,72,5555,67.2,125
,立山,ベント,ゴールド,2021.10.19,白山,ベント,ゴールド,2021.10.19,72,5320,65.9,122
,立山,ベント,レディース,2021.10.19,白山,ベント,レディース,2021.10.19,72,4853,64.0,112
太閤山カントリークラブ,茜,ベント,黒,2013.11.22,楠,ベント,黒,2013.11.22,72,6801,72.4,129
,茜,ベント,青,2013.11.22,楠,ベント,青,2013.11.22,72,6387,70.5,126
,茜,ベント,白,2013.11.22,楠,ベント,白,2013.11.22,72,6041,68.6,125
,茜,ベント,金,2013.11.22,楠,ベント,金,2013.11.22,72,5685,66.8,119
,茜,ベント,赤,2013.11.22,楠,ベント,赤,2013.11.22,72,5180,64.4,111
,茜,ベント,紫,2013.11.22,楠,ベント,紫,2013.11.22,72,4966,63.2,105
,楠,ベント,黒,2013.11.22,蘭,ベント,黒,2013.11.22,72,7066,73.7,121
,楠,ベント,青,2013.11.22,蘭,ベント,青,2013.11.22,72,6694,71.9,124
,楠,ベント,白,2013.11.22,蘭,ベント,白,2013.11.22,72,6267,69.7,123
,楠,ベント,金,2013.11.22,蘭,ベント,金,2013.11.22,72,5841,67.6,117
,楠,ベント,赤,2013.11.22,蘭,ベント,赤,2013.11.22,72,5342,65.1,110
,楠,ベント,紫,2013.11.22,蘭,ベント,紫,2013.11.22,72,4997,63.5,101
,蘭,ベント,黒,2013.11.22,茜,ベント,黒,2013.11.22,72,6871,72.5,123
,蘭,ベント,青,2013.11.22,茜,ベント,青,2013.11.22,72,6465,70.4,125
