,コース１,コース１,コース１,コース１,コース2,コース2,コース2,コース2,Par,Yards,CourseRating,SlopeRating
,コース,グリーン,ティー,査定日,コース,グリーン,ティー,査定日,Par,Yards,CourseRating,SlopeRating
,アウト,Aベント,レギュラー,2021.04.15,イン,Aベント,レギュラー,2021.04.15,72,6340,70.7,132
,アウト,Aベント,フロント1,2021.04.15,イン,Aベント,フロント1,2021.04.15,72,5910,69.1,124
,アウト,Aベント,レディース1,2021.04.15,イン,Aベント,レディース1,2021.04.15,72,5446,66.4,117
,アウト,Bベント,フルバック,2021.04.15,イン,Bベント,フルバック,2021.04.15,72,7066,74.1,134
,アウト,Bベント,バック,2021.04.15,イン,Bベント,バック,2021.04.15,72,6691,72.4,129
,アウト,Bベント,レギュラー,2021.04.15,イン,Bベント,レギュラー,2021.04.15,72,6357,70.8,131
,アウト,Bベント,フロント1,2021.04.15,イン,Bベント,フロント1,2021.04.15,72,5930,69.0,122
,アウト,Bベント,レディース1,2021.04.15,イン,Bベント,レディース1,2021.04.15,72,5450,66.4,117
大和不動カントリー倶楽部,アウト,ベント,バック,2021.07.14,イン,ベント,バック,2021.07.14,72,6928,72.7,135
,アウト,ベント,レギュラー,2021.07.14,イン,ベント,レギュラー,2021.07.14,72,6508,70.7,131
,アウト,ベント,フロント,2021.07.14,イン,ベント,フロント,2021.07.14,72,6067,68.5,127
若木ゴルフ倶楽部,アウト,ベント,Champion,2008.02.07,イン,ベント,Champion,2008.02.07,72,6837,72.9,133
,アウト,ベント,Back,2008.02.07,イン,ベント,Back,2008.02.07,72,6606,71.6,130
,アウト,ベント,Regular,2008.02.07,イン,ベント,Regular,2008.02.07,72,6158,69.3,123
,アウト,ベント,Ladies,2008.02.07,イン,ベント,Ladies,2008.02.07,72,5189,65.6,112
