,コース１,コース１,コース１,コース１,コース2,コース2,コース2,コース2,Par,Yards,CourseRating,SlopeRating
,コース,グリーン,ティー,査定日,コース,グリーン,ティー,査定日,Par,Yards,CourseRating,SlopeRating
,アウト,ベント,レディース,2012.12.10,イン,ベント,レディース,2012.12.10,72,5359,65.4,111
一の宮カントリー倶楽部,東アウト,ベント,バック,2015.07.17,東イン,ベント,バック,2015.07.17,72,6586,72.0,131
,東アウト,ベント,レギュラー,2015.07.17,東イン,ベント,レギュラー,2015.07.17,72,6331,70.8,129
,東アウト,ベント,フロント,2015.07.17,東イン,ベント,フロント,2015.07.17,72,6046,69.2,126
,東アウト,ベント,レディース,2015.07.17,東イン,ベント,レディース,2015.07.17,72,5409,66.3,117
,東アウト,コーライ,バック,2015.07.17,東イン,コーライ,バック,2015.07.17,72,6716,72.4,132
,東アウト,コーライ,レギュラー,2015.07.17,東イン,コーライ,レギュラー,2015.07.17,72,6447,71.2,130
,東アウト,コーライ,フロント,2015.07.17,東イン,コーライ,フロント,2015.07.17,72,6174,69.7,128
,東アウト,コーライ,レディース,2015.07.17,東イン,コーライ,レディース,2015.07.17,72,5532,66.8,119
,西アウト,ベント,バック,2015.07.17,西イン,ベント,バック,2015.07.17,72,6717,72.1,129
,西アウト,ベント,レギュラー,2015.07.17,西イン,ベント,レギュラー,2015.07.17,72,6341,70.4,125
,西アウト,ベント,フロント,2015.07.17,西イン,ベント,フロント,2015.07.17,72,6021,68.8,123
,西アウト,ベント,レディース,2015.07.17,西イン,ベント,レディース,2015.07.17,72,5255,65.0,114
,西アウト,コーライ,バック,2015.07.17,西イン,コーライ,バック,2015.07.17,72,6750,72.5,127
,西アウト,コーライ,レギュラー,2015.07.17,西イン,コーライ,レギュラー,2015.07.17,72,6377,70.6,124
,西アウト,コーライ,フロント,2015.07.17,西イン,コーライ,フロント,2015.07.17,72,6057,69.0,122
,西アウト,コーライ,レディース,2015.07.17,西イン,コーライ,レディース,2015.07.17,72,5286,65.3,113
市原京急カントリークラブ,アウト,ベント,バック,2010.09.13,イン,ベント,バック,2010.09.13,72,6663,71.4,129
,アウト,ベント,レギュラー,2010.09.13,イン,ベント,レギュラー,2010.09.13,72,6129,69.2,123
,アウト,ベント,レディース,2010.09.13,イン,ベント,レディース,2010.09.13,72,5467,66.7,115
