,コース１,コース１,コース１,コース１,コース2,コース2,コース2,コース2,Par,Yards,CourseRating,SlopeRating
,コース,グリーン,ティー,査定日,コース,グリーン,ティー,査定日,Par,Yards,CourseRating,SlopeRating
天瀬温泉カントリークラブ,アウト,ベント,バック,2007.04.18,イン,ベント,バック,2007.04.18,72,6459,71.0,128
,アウト,ベント,レギュラー,2007.04.18,イン,ベント,レギュラー,2007.04.18,72,6161,69.6,124
,アウト,ベント,フロント1,2007.04.18,イン,ベント,フロント1,2007.04.18,72,5454,66.6,115
臼杵カントリークラブ,アウト,ベント,バック,2019.02.28,イン,ベント,バック,2019.02.28,72,6748,73.3,131
,アウト,ベント,レギュラー,2019.02.28,イン,ベント,レギュラー,2019.02.28,72,6354,71.5,125
,アウト,ベント,フロント1,2019.02.28,イン,ベント,フロント1,2019.02.28,72,6138,70.6,128
,アウト,ベント,フロント2,2019.02.28,イン,ベント,フロント2,2019.02.28,72,5868,69.3,120
,アウト,ベント,ゴールド,2019.02.28,イン,ベント,ゴールド,2019.02.28,72,5733,68.8,119
,アウト,ベント,レディース1,2019.02.28,イン,ベント,レディース1,2019.02.28,72,5116,65.8,113
,アウト,バミューダ,バック,2019.02.28,イン,バミューダ,バック,2019.02.28,72,6515,71.9,130
,アウト,バミューダ,レギュラー,2019.02.28,イン,バミューダ,レギュラー,2019.02.28,72,6121,70.2,125
,アウト,バミューダ,フロント1,2019.02.28,イン,バミューダ,フロント1,2019.02.28,72,5905,69.2,124
,アウト,バミューダ,フロント2,2019.02.28,イン,バミューダ,フロント2,2019.02.28,72,5628,68.0,119
,アウト,バミューダ,ゴールド,2019.02.28,イン,バミューダ,ゴールド,2019.02.28,72,5493,67.3,118
,アウト,バミューダ,レディース1,2019.02.28,イン,バミューダ,レディース1,2019.02.28,72,4876,64.5,112
大分カントリークラブ月形コース,アウト,ベント(サブ),バック,2016.07.15,イン,ベント(サブ),バック,2016.07.15,72,6803,72.6,134
