,コース１,コース１,コース１,コース１,コース2,コース2,コース2,コース2,Par,Yards,CourseRating,SlopeRating
,コース,グリーン,ティー,査定日,コース,グリーン,ティー,査定日,Par,Yards,CourseRating,SlopeRating
石坂ゴルフ倶楽部,アウト,ベント,バック,2013.04.22,イン,ベント,バック,2013.04.22,72,7060,81.0,143
,アウト,ベント,レギュラー,2013.04.22,イン,ベント,レギュラー,2013.04.22,72,6800,79.5,141
,アウト,ベント,フロント1,2013.04.22,イン,ベント,フロント1,2013.04.22,72,6210,76.0,133
,アウト,ベント,フロント2,2013.04.22,イン,ベント,フロント2,2013.04.22,72,5805,73.4,128
,アウト,ベント,レディース1,2013.04.22,イン,ベント,レディース1,2013.04.22,72,5500,71.8,124
,アウト,ベント,レディース2,2013.04.22,イン,ベント,レディース2,2013.04.22,72,5300,70.4,122
,アウト,ベント,競技 A,2013.04.22,イン,ベント,競技 A,2013.04.22,72,6500,77.7,137
,アウト,ベント,競技 B,2013.04.22,イン,ベント,競技 B,2013.04.22,72,6300,76.5,134
,アウト,ベント,女子月例 A,2013.04.22,イン,ベント,女子月例 A,2013.04.22,72,5500,71.8,124
,アウト,ベント,女子月例 B,2013.04.22,イン,ベント,女子月例 B,2013.04.22,72,5150,69.6,120
入間カントリー倶楽部,アウト,Aグリーン,フルバック,2013.10.04,イン,Aグリーン,フルバック,2013.10.04,72,6654,78.6,138
,アウト,Aグリーン,バック,2013.10.04,イン,Aグリーン,バック,2013.10.04,72,6527,77.8,137
,アウト,Aグリーン,レギュラー,2013.10.04,イン,Aグリーン,レギュラー,2013.10.04,72,6170,75.8,131
,アウト,Aグリーン,フロント1,2013.10.04,イン,Aグリーン,フロント1,2013.10.04,72,5743,73.2,128
,アウト,Aグリーン,フロント2,2013.10.04,イン,Aグリーン,フロント2,2013.10.04,72,5381,71.1,124
,アウト,Aグリーン,レディース,2013.10.04,イン,Aグリーン,レディース,2013.10.04,72,4908,68.6,119
,アウト,Bグリーン,フルバック,2013.10.04,イン,Bグリーン,フルバック,2013.10.04,72,6457,77.3,136
