,IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,4,4,3N,4,4,4D,3,5,36
1,Champion,536,392,369,192,341,420,422,198,598,3468
2,Back,513,371,349,164,311,389,396,189,574,3256
3,Reg.,493,343,322,137,296,376,349,159,515,2990
4,Front,471,325,285,117,269,334,313,142,480,2736
5,Hdcp,12,14,16,8,18,6,2,10,4,­
