,ベント（Main)　IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,4,3N,4,4,4,3,5D,4,36
1,Champion,509,409,192,392,403,410,199,521,429,3464
2,Regular,486,387,181,378,367,400,181,490,412,3282
3,Front,460,363,161,302,367,370,158,470,390,3041
4,Ladies,460,348,161,302,312,350,135,410,307,2785
5,Hdcp,18,16,12,14,2,6,10,8,4,­
