,IN（久佐）,1,2,3,4,5,6,7,8,9,計
0,Par,4,3N,4,4,5D,3,4,4,5,36
1,Back T.,405,186,400,455,540,170,397,427,521,3501
2,Reg.,386,167,384,439,533,160,383,408,506,3366
3,Hdcp,8,4,16,2,14,12,10,6,18,­
