,OUT（美又）,1,2,3,4,5,6,7,8,9,計
0,Par,4,5D,4,3N,4,4,3,5,4,36
1,Back T.,406,524,435,210,390,424,170,570,420,3549
2,Reg.,386,514,413,167,375,394,168,550,406,3373
3,Hdcp,5,17,1,13,9,7,15,3,11,­
