,OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,4,3,4,4D,3N,5,4,36
1,Champion,414,567,383,240,421,391,171,565,457,3609
2,Back,379,541,363,215,413,361,158,538,449,3417
3,Reg.,350,515,353,189,389,331,147,515,384,3173
4,Front,329,459,343,166,310,311,136,488,337,2879
5,Hdcp,7,9,17,3,5,13,15,11,1,­
