,ベント（Main)　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,4,4,3N,5D,3,4,4,36
1,Champion,398,497,413,369,159,487,193,375,431,3322
2,Regular,375,479,403,350,142,463,171,358,401,3142
3,Front,359,479,388,329,131,440,171,358,385,3040
4,Ladies,334,447,370,288,119,408,145,262,324,2697
5,Hdcp,7,11,3,15,17,5,9,13,1,­
