,Tee Name,Gender,Par,Course Rating (18),Bogey Rating (18),Slope Rating (18),Front (9),Back (9)
ASIAD COUNTRY CLUB - LAKE+PINE,LAKE+PINE(BLACK),M,72,75.9,102.5,143,38.0  /  142,37.9  /  144
,LAKE+PINE(BLUE),M,72,73.9,99.1,136,36.9  /  135,37.0  /  137
,LAKE+PINE(WHITE),M,72,70.5,95.4,134,35.3  /  135,35.2  /  133
,LAKE+PINE(RED),F,72,73.2,104.1,131,36.5  /  132,36.7  /  130
ASIAD COUNTRY CLUB - PINE+VALLEY,PINE+VALLEY(BLACK),M,72,75.5,101.8,142,37.9  /  144,37.6  /  139
,PINE+VALLEY(BLUE),M,72,73.4,98.9,138,37.0  /  137,36.4  /  138
,PINE+VALLEY(WHITE),M,72,70.3,95.2,134,35.2  /  133,35.1  /  135
,PINE+VALLEY(RED),F,72,73.5,104.8,133,36.7  /  130,36.8  /  136
ASIAD COUNTRY CLUB - VALLEY+LAKE,VALLEY+LAKE(BLACK),M,72,75.6,101.7,141,37.6  /  139,38.0  /  142
,VALLEY+LAKE(BLUE),M,72,73.3,98.6,137,36.4  /  138,36.9  /  135
,VALLEY+LAKE(WHITE),M,72,70.4,95.4,135,35.1  /  135,35.3  /  135
,VALLEY+LAKE(RED),F,72,73.3,104.9,134,36.8  /  136,36.5  /  132
BUSAN Country Club - OUT / IN,CHAMPION,M,72,72.4,98.5,141,36.6  /  138,35.8  /  143
,REGULAR,M,72,71.0,95.3,131,35.8  /  133,35.2  /  128
,LADY,F,73,73.3,104.3,132,37.3  /  135,36.0  /  128
"Dongrae Benest - Out,In",BLUE,M,72,73.6,100.0,142,37.1  /  141,36.5  /  143
,White,M,72,71.4,96.9,138,35.9  /  137,35.5  /  138
,Red,F,71,68.6,98.9,129,34.8  /  129,33.8  /  128
