,Tee Name,Gender,Par,Course Rating (18),Bogey Rating (18),Slope Rating (18),Front (9),Back (9)
ARAMIR GOLF & RESORT - ARA,BACK(2017),M,72,73.1,96.3,125,37.1  /  125,36.0  /  125
,BLUE(2017),M,72,71.3,93.7,121,36.2  /  122,35.1  /  119
,WHITE(2017),M,72,70.1,92.0,118,35.7  /  119,34.4  /  116
,GOLD(2017),M,72,68.2,89.0,112,34.7  /  115,33.5  /  109
,LADY(2017),F,72,69.7,96.4,113,35.4  /  110,34.3  /  116
ARAMIR GOLF & RESORT - MIR,BLACK,M,72,74.0,97.5,127,37.2  /  130,36.8  /  123
,BLUE,M,72,71.6,94.4,123,35.9  /  125,35.7  /  121
,WHITE,M,72,69.9,92.0,119,35.0  /  118,34.9  /  119
,YELLOW,M,72,67.8,88.5,112,33.8  /  112,34.0  /  111
,LADY,F,72,69.2,96.3,115,34.6  /  116,34.6  /  114
"CHANGWON CC - Out,In",Back,M,72,72.9,97.4,132,36.0  /  135,36.9  /  129
,White,M,72,71.1,94.5,126,35.4  /  124,35.7  /  128
,Lady,F,72,72.3,103.0,130,36.4  /  131,35.9  /  129
GOLFZON COUNTY SACHEON - Bito+Dasol,BACK,M,72,74.3,100.0,139,37.3  /  139,37.0  /  138
,REGULAR,M,72,71.5,96.9,137,35.6  /  140,35.9  /  133
,LADY,F,72,68.9,97.7,122,34.4  /  121,34.5  /  123
GOLFZON COUNTY SACHEON - Dasol+Dragon,BACK,M,72,73.7,99.6,140,37.0  /  138,36.7  /  141
,REGULAR,M,72,71.1,95.9,133,35.9  /  133,35.2  /  133
,LADY,F,72,68.4,97.4,123,34.5  /  123,33.9  /  123
GOLFZON COUNTY SACHEON - Dragon+Bito,BACK,M,72,74.0,100.0,140,36.7  /  141,37.3  /  139
,REGULAR,M,72,70.8,96.2,137,35.2  /  133,35.6  /  140
,LADY,F,72,68.3,97.1,122,33.9  /  123,34.4  /  121
"South Cape Owners Club - Out,In",White,M,72,70.8,95.4,133,34.9  /  136,35.9  /  129
,Red,F,72,71.8,101.4,126,36.0  /  126,35.8  /  126
WOOJEONG HILLS - OUT / IN,1st Pro,M,72,75.5,101.2,139,37.7  /  139,37.8  /  138
,2nd Champ,M,72,72.3,97.1,134,36.3  /  136,36.0  /  131
,3rd Regular,M,72,70.2,94.5,131,35.2  /  133,35.0  /  128
,4th Front,M,72,66.6,88.4,117,33.3  /  119,33.3  /  115
,3rd Regular,F,72,75.6,108.2,139,37.9  /  140,37.7  /  137
,4th Front (Lady),F,72,71.2,100.3,124,35.6  /  125,35.6  /  122
,Red,F,72,68.2,96.2,119,34.3  /  121,33.9  /  116
YONGWON Golf Club - BAEKGU+BAEKRO,BAEKGU+BAEKRO(BLUE),M,72,72.3,98.4,141,36.3  /  135,36.0  /  146
,BAEKGU+BAEKRO(WHITE),M,72,70.2,95.8,138,35.2  /  133,35.0  /  142
,BAEKGU+BAEKRO(RED),F,72,73.9,105.9,136,37.1  /  135,36.8  /  137
YONGWON Golf Club - BAEKRO+MOOHAK,BAEKRO+MOOHAK(BLUE),M,72,73.0,99.6,143,36.0  /  146,37.0  /  140
,BAEKRO+MOOHAK(WHITE),M,72,70.7,96.2,137,35.0  /  142,35.7  /  132
,BAEKRO+MOOHAK(RED),F,72,74.9,107.6,139,36.8  /  137,38.1  /  141
YONGWON Golf Club - MOOHAK+BAEKGU,MOOHAK+BAEKGU(BLUE),M,72,73.3,98.8,138,37.0  /  140,36.3  /  135
,MOOHAK+BAEKGU(WHITE),M,72,70.9,95.6,133,35.7  /  132,35.2  /  133
,MOOHAK+BAEKGU(RED),F,72,75.2,107.7,138,38.1  /  141,37.1  /  135
