,Tee Name,Gender,Par,Course Rating (18),Bogey Rating (18),Slope Rating (18),Front (9),Back (9)
"360 Country Club - OUT,IN",BLACK,M,72,75.2,102.4,146,37.3  /  146,37.9  /  146
,BLUE,M,72,73.1,99.7,143,36.5  /  141,36.6  /  145
,WHITE,M,72,71.5,97.9,142,35.7  /  143,35.8  /  141
,GOLD,M,68,67.8,91.8,130,34.3  /  137,33.5  /  122
,RED,F,67,67.3,95.7,121,33.9  /  125,33.4  /  116
88 Country Club - EAST,Blue,M,72,74.7,100.1,137,37.5  /  138,37.2  /  136
,White,M,72,70.6,94.1,127,35.0  /  125,35.6  /  128
,Red,F,72,70.5,100.2,126,34.6  /  125,35.9  /  127
88 Country Club - WEST,Blue,M,72,74.3,98.9,133,37.0  /  130,37.3  /  135
,White,M,72,70.8,94.4,127,35.4  /  126,35.4  /  128
,Red,F,72,70.9,100.4,125,35.3  /  123,35.6  /  127
"Ansung - Out,In",White,M,72,71.5,94.3,123,35.3  /  122,36.2  /  124
,Red,F,72,71.1,99.6,121,35.2  /  120,35.9  /  121
"Ansung Benest - Challenge(South,East)",BLUE,M,72,72.4,98.3,140,36.5  /  142,35.9  /  137
,WHITE,M,72,70.6,96.1,137,35.6  /  143,35.0  /  131
,RED,F,72,69.1,98.4,125,34.3  /  125,34.8  /  124
"Ansung Benest - Classic(West,North)",BLUE,M,72,74.2,98.8,132,37.3  /  133,36.9  /  131
,WHITE,M,72,71.9,95.8,129,35.8  /  130,36.1  /  127
,RED,F,72,73.1,103.3,128,36.3  /  125,36.8  /  131
"Anyang CC - Out,In",Black 1st,M,72,73.9,99.4,138,37.1  /  137,36.8  /  138
,Blue 2nd,M,72,72.4,97.1,133,36.4  /  135,36.0  /  131
,White 3rd,M,72,70.9,95.9,135,35.5  /  138,35.4  /  131
,Yellow 4th,M,72,69.5,93.9,131,34.7  /  132,34.8  /  130
,Yellow (Lady),F,72,74.9,106.2,133,37.3  /  130,37.6  /  136
,Red,F,72,71.2,100.1,123,35.6  /  121,35.6  /  124
ASIANA COUNTRY CLUB - EAST,BLUE,M,72,73.4,98.6,136,36.3  /  137,37.1  /  135
,WHITE,M,71,71.9,96.1,130,35.6  /  133,36.3  /  127
