,Tee Name,Gender,Par,Course Rating (18),Bogey Rating (18),Slope Rating (18),Front (9),Back (9)
Dar es Salaam Gymkhana Club,White,M,72,68.9,91.0,119,34.0  /  119,34.9  /  118
,Red,M,72,65.4,85.7,109,32.7  /  104,32.7  /  114
,White (w),F,72,75.0,105.6,130,37.0  /  128,38.0  /  131
,Red (w),F,72,70.9,99.7,122,35.3  /  122,35.6  /  122
Lugalo Golf Club,White,M,72,70.2,95.1,134,34.5  /  131,35.7  /  137
,Red,M,72,66.9,90.9,129,32.9  /  126,34.0  /  132
,White (w),F,72,76.1,110.2,145,37.5  /  138,38.6  /  151
,Red (w),F,72,72.5,104.3,135,35.6  /  132,36.9  /  137
