,秋田　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,5D,3N,4,4,4,3N,5D,36
1,Back T.,393,412,592,176,389,407,395,177,611,3552
2,Reg T.,377,391,569,155,341,379,335,150,588,3285
3,Hdcp,2,8,4,9,7,3,6,5,1,­
