,森岳　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,5D,3N,4,4,4,4,3N,5D,4,36
1,Back T.,567,175,413,397,381,375,195,537,420,3460
2,Reg T.,536,163,384,362,353,360,181,493,401,3233
3,Hdcp,1,9,7,4,6,5,3,2,8,­
