,森岳　IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,3N,5D,4,4,4,4,3N,5D,36
1,Back T.,407,195,525,343,303,372,367,156,572,3240
2,Reg T.,385,176,504,310,272,340,350,145,555,3037
3,Hdcp,8,5,1,4,7,6,2,9,3,­
