,東,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,4,3N,5D,3,4,4,4,36
1,Blue,581,442,345,160,448,158,360,352,402,3248
2,White,496,428,330,145,428,138,342,338,370,3015
3,Red,351,352,315,129,360,110,331,319,362,2629
4,Hdcp,1,2,4,9,7,6,5,8,3,­
