,IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,3N,4,4,4,4D,4,3,5,36
1,Back,506,171,442,415,397,437,393,198,565,3524
2,Regular,477,151,371,400,360,411,382,180,541,3273
3,Ladies,402,115,284,294,308,317,290,164,475,2649
4,Hdcp,14,18,2,6,8,10,16,12,4,­
