,由布　IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,5,4,3,4,4,3N,4D,5,36
1,Back T.,417,511,362,215,362,422,168,424,536,3417
2,Reg.,383,484,346,198,360,398,150,402,514,3235
3,Ledies,356,401,346,112,278,341,112,361,415,2722
4,Hdcp,4,14,8,16,10,2,18,6,12,­
