,南,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3,4,5,4,3N,5D,4,36
1,Blue,307,374,216,351,453,330,147,484,364,3026
2,White,292,350,197,334,428,311,127,463,329,2831
3,Red,269,338,160,319,399,298,104,386,313,2586
4,Hdcp,9,5,4,2,8,6,7,1,3,­
