,鶴見　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,4,3,4,4,5,3N,4D,36
1,Back T.,418,553,393,155,386,381,525,157,417,3385
2,Reg.,396,514,375,145,356,364,492,146,405,3193
3,Ledies,362,492,350,108,356,198,463,146,303,2778
4,Hdcp,2,12,16,14,10,4,8,18,6,­
