,IN,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,3N,4,4D,4,3,4,5,36
1,バック,622,445,185,400,397,412,205,405,565,3636
2,レギュラー,578,405,163,367,375,393,184,356,513,3334
3,フロント,532,380,150,350,353,356,160,328,480,3089
4,レディース,475,345,139,285,336,295,140,295,410,2720
5,Hdcp,4,10,16,2,14,8,12,18,6,­
