,IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,4,3N,4,5,4D,3,4,4,36
1,BT,527,396,180,429,501,352,176,432,349,3342
2,RT,510,374,167,406,486,339,167,382,337,3168
3,LT,497,337,113,290,443,303,125,296,293,2697
4,Hdcp,8,6,18,4,14,16,10,2,12,­
