,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,3,5D,4,5,4,3,4,4,36
1,Blue,393,211,545,356,463,335,163,329,311,3106
2,White,380,190,528,343,442,326,151,313,303,2976
3,Red,308,168,414,330,412,317,139,265,300,2653
4,Hdcp,4,12,8,18,10,2,14,6,16,­
